"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Lindor, Francisco","596019","2024","30","618","689","169","96","39","1","33","127","56",18.4,8.1,".273",".500",".344","0.844",".287",".539",".363",".382",".357",".252",72.3,23.2,18.9,14.4,37.6,28.6,"7.6","14","90.9","17",35.4,13.6
"Peña, Jeremy","665161","2024","26","602","650","160","115","28","2","15","111","25",17.1,3.8,".266",".394",".308","0.702",".269",".404",".305",".313",".313",".135",72.6,22.2,15,11.4,33.6,25.4,"7.6","13","88.2","7.5",29.2,5.4
"Altuve, Jose","514888","2024","34","628","682","185","134","31","0","20","119","47",17.4,6.9,".295",".439",".350","0.789",".264",".406",".344",".318",".322",".142",69.4,13.1,9,7.1,33.4,26.3,"7.8","10","86.5","14.1",35.4,6.5
"Donovan, Brendan","680977","2024","27","587","652","163","112","34","3","14","81","47",12.4,7.2,".278",".417",".342","0.759",".278",".427",".332",".337",".344",".149",69.6,7.2,13.8,12,40.5,35.2,"6.9","14","88.7","13.2",36.6,5.5
"Duran, Jarren","680776","2024","27","671","735","191","108","48","14","21","160","54",21.8,7.3,".285",".492",".342","0.834",".280",".464",".357",".346",".338",".184",73.6,36.4,17.9,13.8,30.2,23.3,"7.6","21","90.8","9.5",33.8,9.3
"Hoerner, Nico","663538","2024","27","582","641","159","116","35","1","7","66","44",10.3,6.9,".273",".373",".335","0.708",".283",".357",".313",".314",".346",".075",68.2,2.8,7.2,6.4,35.4,31.7,"7.1","11","85.7","10.4",36,1.2
"Witt Jr., Bobby","677951","2024","24","636","709","211","123","45","11","32","106","57",15,8,".332",".588",".389","0.977",".321",".594",".410",".413",".384",".273",74.7,48.2,20.3,15.9,34.8,27.4,"7.1","16","92.7","15.1",35.7,14.3
"Semien, Marcus","543760","2024","33","650","718","154","102","27","2","23","105","64",14.6,8.9,".237",".391",".308","0.699",".257",".404",".306",".319",".327",".147",68.3,4.2,11.9,9.8,37.6,30.7,"7.7","27","87.4","17",33,6.6
"McCutchen, Andrew","457705","2024","37","448","515","104","65","18","1","20","133","58",25.8,11.3,".232",".411",".328","0.739",".233",".435",".325",".333",".330",".202",72.7,25.3,14.9,11.1,31.2,23.2,"7.6","11","88.5","14.3",31.9,12
"Winker, Jesse","608385","2024","30","430","508","109","72","23","0","14","106","63",20.9,12.4,".253",".405",".360","0.765",".245",".388",".338",".329",".353",".142",69.6,7.7,11.7,9.6,32.7,26.9,"7.3","20","88.6","14",30.1,7.6
"Cowser, Colton","681297","2024","24","499","561","121","70","24","3","24","172","52",30.7,9.3,".242",".447",".321","0.768",".234",".449",".331",".331",".316",".215",73.8,40.7,17,12.4,31,22.7,"6.9","23","90.5","13",32.1,13.6
"Busch, Michael","683737","2024","26","496","567","123","72","28","2","21","162","63",28.6,11.1,".248",".440",".335","0.775",".221",".428",".336",".321",".313",".208",70.3,11.3,13.3,9.6,35.1,25.2,"7.3","18","90","17.1",36.4,11.2
"Thomas, Lane","657041","2024","28","472","528","112","68","26","3","15","137","44",25.9,8.3,".237",".400",".309","0.709",".246",".383",".309",".310",".318",".138",71.7,16.6,15.6,12.3,33.4,26.4,"6.8","20","88.8","17",31.5,7.4
"Stephenson, Tyler","663886","2024","27","457","515","118","72","26","1","19","117","48",22.7,9.3,".258",".444",".338","0.782",".243",".408",".339",".322",".327",".165",70.8,9.4,15.6,12.7,37.5,30.5,"7.4","31","90.2","10.9",33,9.1
"Langeliers, Shea","669127","2024","26","482","534","108","59","18","2","29","145","41",27.2,7.7,".224",".450",".288","0.738",".244",".469",".315",".332",".308",".225",74.1,42,17.7,12.9,32.5,23.7,"7.3","7","91.3","16.3",35.3,12.8
