"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Castellanos, Nick","592206","2024","32","606","659","154","97","30","4","23","139","41",21.1,6.2,".254",".431",".311","0.742",".273",".450",".321",".335",".328",".178",71.9,22.6,12.7,9,33.7,23.8,"7.6","12","88.4","15.2",39,8.1
"Carroll, Corbin","682998","2024","23","589","684","136","78","22","14","22","130","73",19,10.7,".231",".428",".322","0.750",".247",".403",".325",".329",".339",".156",73.7,36.9,18.4,14.6,34.9,27.7,"7","5","89.3","12",27.8,7.2
"Machado, Manny","592518","2024","31","593","643","163","104","30","0","29","124","45",19.3,7,".275",".472",".325","0.797",".274",".466",".340",".338",".327",".193",75.3,53.6,20.7,16.3,31.6,24.8,"7.8","25","92.5","12.7",33.8,11
"Profar, Jurickson","595777","2024","31","564","668","158","105","29","0","24","101","76",15.1,11.4,".280",".459",".380","0.839",".283",".448",".365",".364",".384",".165",71.7,22.8,12.4,10.4,32.2,27,"7.3","13","91.1","13.4",31.3,7.2
"Bohm, Alec","664761","2024","27","554","606","155","94","44","2","15","86","40",14.2,6.6,".280",".448",".332","0.780",".291",".453",".335",".345",".345",".162",72.2,21.3,18.7,15.6,39.3,32.8,"7.4","9","90.4","10.1",35.2,6.8
"Henderson, Gunnar","683002","2024","23","630","719","177","102","31","7","37","159","78",22.1,10.8,".281",".529",".364","0.893",".289",".505",".381",".379",".373",".217",76.3,64,22.6,17.6,32.1,25.1,"7.2","20","92.8","9.2",34.5,11.2
"Garcia, Maikel","672580","2024","24","575","626","133","94","27","5","7","103","42",16.5,6.7,".231",".332",".281","0.613",".264",".376",".270",".303",".314",".111",70.8,10.8,16.1,14,41,35.6,"7.2","12","90.4","6.4",34.1,3.7
"Diaz, Yainer","673237","2024","25","585","619","175","127","29","3","16","107","24",17.3,3.9,".299",".441",".325","0.766",".300",".465",".329",".340",".327",".165",72.6,23.7,17.1,13.2,34.4,26.5,"7.4","17","90.2","8.9",35,7.6
"Volpe, Anthony","683011","2024","23","637","689","155","109","27","7","12","156","42",22.6,6.1,".243",".364",".293","0.657",".240",".340",".287",".280",".293",".100",69.4,4.6,10.8,8.5,32.9,26,"7.1","29","87.7","8.4",33.3,3.9
"Arenado, Nolan","571448","2024","33","578","635","157","118","23","0","16","92","44",14.5,6.9,".272",".394",".325","0.719",".256",".361",".314",".297",".313",".105",70.7,12.8,9.2,7.8,32.3,27.6,"8.2","29","86.3","16.9",35.9,3.2
"Giménez, Andrés","665926","2024","25","583","633","147","115","22","1","9","97","26",15.3,4.1,".252",".340",".298","0.638",".265",".362",".281",".299",".313",".097",68.2,6.8,7.6,5.7,31.4,23.7,"7","17","86.3","8.7",32.7,2.8
"Bregman, Alex","608324","2024","30","581","634","151","93","30","2","26","86","44",13.6,6.9,".260",".453",".315","0.768",".262",".428",".331",".323",".318",".167",71.4,11.8,13.3,11.9,37.9,33.8,"7","7","89.1","18.2",34.9,6.4
