"last_name, first_name","player_id","year","p_formatted_ip","k_percent","batting_avg","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Dunning, Dane","641540","2023","172.2",19.4,".250","3.70","R","2696","3.2","23.4","15.6","4.7","33.1","20",,,,,,,"56.3","28.1","15.6"
"France, J.P.","641585","2023","136.1",17.4,".263","3.83","R","2202","43.1",,"15.2","13.7",,"18.9",,,"9.1",,,,"62","22.8","15.2"
"Ober, Bailey","641927","2023","144.1",25.3,".232","3.43","R","2327","45.7","19.6","28","6.7",,,,,,,,,"45.7","26.3","28"
"Peralta, Freddy","642547","2023","165.2",30.9,".212","3.86","R","2839","51.2","21.8","14.6","12.4",,,,,,,,,"51.2","34.2","14.6"
"Alcantara, Sandy","645261","2023","184.2",19.8,".251","4.14","R","2721","21.3","20.1","27.3","2.2","29",,,,,,,,"50.3","22.3","27.3"
"Civale, Aaron","650644","2023","122.1",23,".235","3.46","R","2008","12.3","5.8",,"24.4","18.5","37.2","1.7",,"0.1",,,,"68","30.3","1.7"
"Canning, Griffin","656288","2023","127.0",25.9,".245","4.32","R","2084","34.8","29.9","21.2","13.4","0.6",,,,,,,,"35.5","43.3","21.2"
"Cease, Dylan","656302","2023","177.0",27.3,".250","4.58","R","3262","43.2","38.6","3","15.2",,,,,,,,,"43.2","53.8","3"
"Flaherty, Jack","656427","2023","144.1",22.8,".287","4.99","R","2633","41.7","24.8","3.2","19.4","2.1","8.8",,,,,,,"52.6","44.2","3.2"
"Keller, Mitch","656605","2023","194.1",25.5,".249","4.21","R","3119","26.1",,"2.8","8","22.8","24.3",,,"16.1",,,,"73.1","24","2.8"
"Kopech, Michael","656629","2023","129.1",22.7,".238","5.43","R","2430","61.4","27.2","7.4","4",,,,,,,,,"61.4","31.2","7.4"
"Megill, Tylor","656731","2023","126.1",18.5,".282","4.70","R","2235","55.7","20.6","14.9","8.6",,,"0.2",,,,,,"55.7","29.2","15.1"
"Montgomery, Jordan","656756","2023","188.2",21.4,".247","3.20","L","2920","10.6",,"23","22.2","42.6","1.6",,,,,,,"54.9","22.2","23"
"Steele, Justin","657006","2023","173.1",24.6,".251","3.06","L","2678","62.6","33.9","1","0.7","1.8",,,,,,,,"64.4","34.6","1"
"Webb, Logan","657277","2023","216.0",22.8,".248","3.25","R","3182","3.7",,"41.6",,"33.6",,,,"21.2",,,,"37.2","21.2","41.6"
"Schmidt, Clarke","657376","2023","159.0",21.5,".268","4.64","R","2712",,,"1.5","19.1","24.1","27.9",,,"27.4",,,,"52","46.5","1.5"
"Ryan, Joe","657746","2023","161.2",29.3,".248","4.51","R","2683","56.9","4.5",,,,,"27.2",,"11.4",,,,"56.9","15.9","27.2"
"Ohtani, Shohei","660271","2023","132.0",31.5,".184","3.14","R","2094","33","0.2",,"3.6","6","15.7","6.3",,"35.2",,,,"54.7","39.1","6.3"
"Irvin, Jake","663623","2023","121.0",18.7,".255","4.61","R","2147","35.6",,"5.1","30.6","28.7",,,,,,,,"64.3","30.6","5.1"
"Sandoval, Patrick","663776","2023","144.2",19.6,".256","4.11","L","2620","25.5","26.1","25.8","9","11.1",,,,"2.6",,,,"36.6","37.6","25.8"
"Singer, Brady","663903","2023","159.2",18.9,".287","5.52","R","2612","0.2","42.1","6.3",,"51",,,,"0.5",,,,"51.1","42.6","6.3"
"Valdez, Framber","664285","2023","198.0",24.8,".228","3.45","L","2950","0.1","8.7","15.7","25.3","46.8","3.4",,,,,,,"50.3","34","15.7"
"Javier, Cristian","664299","2023","162.0",23.1,".234","4.56","R","2882","58.4","30","4.1","7.5",,,,,,,,,"58.4","37.5","4.1"
"Kremer, Dean","665152","2023","172.2",21.4,".254","4.12","R","2925","37.1",,"12.3","8.9","14.5","23.9",,,"3.3",,,,"75.5","12.2","12.3"
"Garrett, Braxton","666129","2023","159.2",23.7,".250","3.66","L","2479","7.5","25.8","8.8","8.4","31.7","17.7",,,,,,,"56.9","34.2","8.8"
"Luzardo, Jesús","666200","2023","178.2",28.1,".239","3.58","L","2988","45.7","28.9","21",,"4","0.4",,,,,,,"50.2","28.9","21"
"Gallen, Zac","668678","2023","210.0",26,".238","3.47","R","3248","49","4.5","13.9","22.7","0.7","9.2",,,,,,,"58.9","27.1","13.9"
"Ashcraft, Graham","668933","2023","145.2",17.8,".265","4.76","R","2323",,"37.4","0",,"9.7","52.9",,,,,,,"62.6","37.4","0"
"Gore, MacKenzie","669022","2023","136.1",25.9,".258","4.42","L","2462","59.5","18.2","2.9","18.8",,,,,"0.6",,,,"59.5","37.6","2.9"
"Nelson, Ryne","669194","2023","144.0",15.5,".284","5.31","R","2355","54.6","10.4","13.3","5.2",,"13.5",,,"3",,,,"68.1","18.6","13.3"
"Burnes, Corbin","669203","2023","193.2",25.5,".200","3.39","R","3079",,"3.9","11.2","17.2","7.7","55.4",,,"4.5",,,,"63.1","25.7","11.2"
"Gilbert, Logan","669302","2023","190.2",24.5,".233","3.73","R","2922","41.9","29.7",,"13.4","0.3",,"14.8",,,,,,"42.1","43.1","14.8"
"Bieber, Shane","669456","2023","128.0",20.1,".253","3.80","R","1954","35.2","20.7","3.5","13.7",,"26.9",,,,,,,"62.1","34.4","3.5"
"Kirby, George","669923","2023","190.2",22.7,".246","3.35","R","2825","39.4","19.7","1.8","11.5","21.6",,"6.1","0.1",,,,,"60.9","31.2","7.9"
"Oviedo, Johan","670912","2023","177.2",20.2,".237","4.31","R","2980","39.2","36.7","4.1","14.9","5",,,,,,,,"44.2","51.6","4.1"
"Allen, Logan","671106","2023","125.1",22.2,".263","3.81","L","2134","45.1","2.5","21.3",,,"8.9",,,"22.2",,,,"54","24.7","21.3"
"Detmers, Reid","672282","2023","148.2",26.1,".248","4.48","L","2599","43.2","30.9","5.4","19.4",,,,,"1.1",,,,"43.2","51.4","5.4"
"Senga, Kodai","673540","2023","166.1",29.1,".208","2.98","R","2795","37","5.8",,"2.7",,"25",,,"5.8",,"23.8",,"62","14.3","23.8"
"Strider, Spencer","675911","2023","186.2",36.8,".210","3.86","R","3099","58.9","33.8","7.3",,,,,,,,,,"58.9","33.8","7.3"
"Miller, Bobby","676272","2023","124.1",23.6,".226","3.76","R","1961","28.9","16.7","16","18.5","19.2",,,,"0.7",,,,"48.1","35.9","16"
"Bibee, Tanner","676440","2023","142.0",24.1,".230","2.98","R","2326","47",,"16.6","9.3","0","27",,,,,,,"74.1","9.3","16.6"
"Sears, JP","676664","2023","172.1",21.9,".249","4.54","L","2867","50.1","13.4","15.2",,"0.1",,,,"21.2",,,,"50.3","34.6","15.2"
"Crawford, Kutter","676710","2023","129.1",25.6,".221","4.04","R","2099","39.2","6.3",,"11.9",,"28.2","7.7",,"6.7",,,,"67.4","25","7.7"
"Bello, Brayan","678394","2023","157.0",19.8,".270","4.24","R","2618","20.6","17.6","23.9",,"36.3","1.6",,,,,,,"58.5","17.6","23.9"
"Rodriguez, Grayson","680570","2023","122.0",25,".259","4.35","R","2104","49.6","0.4","22.4","8.1",,"5.2",,,"14.4",,,,"54.8","22.9","22.4"
"Gray, Josiah","680686","2023","159.0",20.5,".251","3.91","R","2812","17","24.6","1.6","16.2","17.2","17.8",,,"5.5",,,,"52","46.4","1.6"
"Bradish, Kyle","680694","2023","168.2",25,".215","2.83","R","2638","22.4","31.2","7.5","17.3","21.5",,,,,,,,"43.9","48.6","7.5"
"Miller, Bryce","682243","2023","131.1",22.2,".248","4.32","R","2094","58.4","18.9","5.6","0.9","7.6","0",,,"8.5",,,,"66.1","28.3","5.6"
"Waldichuk, Ken","686610","2023","141.0",20.7,".271","5.36","L","2553","54.3",,"16.6","2",,,,,"27.1",,,,"54.3","29.1","16.6"
"Brown, Hunter","686613","2023","155.2",26.8,".262","5.09","R","2720","46.1",,"4.8","23.8","0.2","23.5",,,"1.7",,,,"69.8","25.4","4.8"
"Elder, Bryce","693821","2023","174.2",17.5,".245","3.81","R","2849","13.4","35.3","13.7",,"37.6",,,,,,,,"51","35.3","13.7"
