"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Peralta, Wily","503449","2016","127.2","4.86","R","2128","25.6","32.3","4.9",,"37.2",,,,,,,,"62.8","32.3","4.9"
"Nicasio, Juan","504379","2016","118.0","4.50","R","2153","67.9","29","1.9",,"1.2",,,,,,,,"69.1","29","1.9"
"Salazar, Danny","517593","2016","137.1","3.87","R","2370","56.6","11.1","17.8","2.8","11.6",,,,,,,,"68.3","14","17.8"
"Bettis, Chad","518452","2016","186.0","4.79","R","3041","48.2","18.7","11.7","11","10","0.4",,,,,,,"58.6","29.7","11.7"
"Bumgarner, Madison","518516","2016","226.2","2.74","L","3551","45.6","0.9","3.3","15.1","2.5","32.6",,,,,,,"80.7","16","3.3"
"Duffy, Danny","518633","2016","179.2","3.51","L","2694","38.3","0","17.3","23.2","21.2",,,,,,,,"59.5","23.2","17.3"
"Gee, Dillon","518716","2016","125.0","4.68","R","2035","9.4",,"17.7","16.6","34.2","22",,,,,,,"65.7","16.6","17.7"
"Moore, Matt","519043","2016","198.1","4.08","L","3279","52.9",,"12.7","22.1","7.7","4.5",,,,,,,"65.1","22.1","12.7"
"Nelson, Jimmy","519076","2016","179.1","4.62","R","2968","21.9","17.1","0.8","11.2","49.1",,,,,,,,"71","28.2","0.8"
"Pomeranz, Drew","519141","2016","170.2","3.32","L","2829","39",,"9.6","39.2",,"12.2",,,,,,,"51.2","39.2","9.6"
"Porcello, Rick","519144","2016","223.0","3.15","R","3394","22.2","12.8","13.4","13.8","37.9",,,,,,,,"60.1","26.5","13.4"
"Sale, Chris","519242","2016","226.2","3.34","L","3356",,"25.2","19.4",,"55.4",,,,,,,,"55.4","25.2","19.4"
"Pérez, Martín","527048","2016","198.2","4.39","L","3076","24.8","10.4","17","10.6","37.3",,,,,,,,"62.1","20.9","17"
"Teheran, Julio","527054","2016","188.0","3.21","R","2966","46.7","26.2","9","9.2","8.8",,,,,,,,"55.6","35.5","9"
"Shoemaker, Matt","533167","2016","160.0","3.88","R","2467","21.1","7.5","40.8","1.1","29.5",,,,,,,,"50.5","8.7","40.8"
"Andriese, Matt","542882","2016","127.2","4.37","R","1978","45.2","21.4","12.3","10.2","0.7","10.2",,,,,,,"56.1","31.6","12.3"
"Chatwood, Tyler","543022","2016","158.0","3.87","R","2539","38.6",,"2.2","4.8","34.2","20.2",,,,,,,"93","4.8","2.2"
"Cole, Gerrit","543037","2016","116.0","3.88","R","1926","47.3","18.1","5.7","9.8","19.1",,,,,,,,"66.4","27.9","5.7"
"Conley, Adam","543045","2016","133.1","3.85","L","2242","63.4","18","18.6",,,,,,,,,,"63.4","18","18.6"
"DeSclafani, Anthony","543101","2016","123.1","3.28","R","1939","31.3","29.2","2.1","11.4","26",,,,,,,,"57.2","40.6","2.1"
"Eovaldi, Nathan","543135","2016","124.2","4.76","R","2052","46.2","16.8","3.5","4.2","0.7","10.2","18.5",,,,,,"57","21","22"
"Friedrich, Christian","543184","2016","129.1","4.80","L","2129","14.5","19.6","13","18.6","34.3",,,,,,,,"48.8","38.2","13"
"Gray, Sonny","543243","2016","117.0","5.69","R","1947","36.7","10.7","9.3","15.9","24.8","2.2",,,"0.4",,,,"63.7","27","9.3"
"Hendricks, Kyle","543294","2016","190.0","2.13","R","2870","3.7",,"27.1","7.8","45.4","16.1",,,,,,,"65.1","7.8","27.1"
"Koehler, Tom","543408","2016","176.2","4.33","R","3059","39.9","24.5","6.6","22.6","6.3",,,,,,,,"46.3","47.1","6.6"
"McHugh, Collin","543521","2016","184.2","4.34","R","3148","28.8",,"5.1","30","6.7","29.3",,,,,,,"64.9","30","5.1"
"Odorizzi, Jake","543606","2016","187.2","3.69","R","3298","31.1","9.6",,"4","29.2","6.3","19.8",,,,,,"66.6","13.6","19.8"
"Roark, Tanner","543699","2016","210.0","2.83","R","3342","4.6","15.1","9.8","12.7","57.7",,,,,,,,"62.3","27.8","9.8"
"Strasburg, Stephen","544931","2016","147.2","3.60","R","2379","50","17","13.1","12.7","7.2",,,,,,,,"57.3","29.6","13.1"
"Bauer, Trevor","545333","2016","190.0","4.26","R","3085","22.4",,"12.2","19.4","28.5","17.5",,,,,,,"68.4","19.4","12.2"
"Iwakuma, Hisashi","547874","2016","199.0","4.12","R","2968","18.7","18.4",,"9","26.1","8.4","19.3",,,,,,"53.3","27.5","19.3"
"Tanaka, Masahiro","547888","2016","199.2","3.07","R","2935","6.5","27.7",,"5.5","21.5","8.9","29.9",,,,,,"36.9","33.2","29.9"
"Ventura, Yordano","570649","2016","186.0","4.45","R","3047","23.2",,"18.5","25.3","31.3","1.6",,,,,,,"56.2","25.3","18.5"
"Corbin, Patrick","571578","2016","155.2","5.15","L","2532","31.2","26.5","9.9",,"32.4",,,,,,,,"63.5","26.5","9.9"
"Fiers, Mike","571666","2016","168.2","4.48","R","2770","43.4","7.2","19.5","19.1",,"10.8",,,,,,,"54.2","26.3","19.5"
"Matz, Steven","571927","2016","132.1","3.40","L","2145","0.2","9.7","11.9","16.8","61.4",,,,,,,,"61.6","26.5","11.9"
"Paxton, James","572020","2016","121.0","3.79","L","1940","59.4",,"7.9","12.2","3.5","17",,,,,,,"79.9","12.2","7.9"
"Keuchel, Dallas","572971","2016","168.0","4.55","L","2659","9.6","26.3","9.3",,"44","10.9",,,,,,,"64.5","26.3","9.3"
"Straily, Dan","573185","2016","191.1","3.76","R","3035","47.1","26.1","18","4.7","4.2",,,,,,,,"51.2","30.8","18"
"Stroman, Marcus","573186","2016","204.0","4.37","R","3102","9.3","0.1","5.3","2.5","48.9","22.2",,,,"11.7",,,"80.4","14.3","5.3"
"Foltynewicz, Mike","592314","2016","123.1","4.31","R","2112","49.2","22","8","7.3","13.4",,,,,,,,"62.6","29.4","8"
"Gausman, Kevin","592332","2016","179.2","3.61","R","3112","61.5","13.2","1.9",,"4.5",,"18.9",,,,,,"66","13.2","20.8"
"Gray, Jon","592351","2016","168.0","4.61","R","2787","55.3","26.3","7.4","11",,,,,,,,,"55.3","37.3","7.4"
"Ray, Robbie","592662","2016","174.1","4.90","L","3164","46.5","22.6","6.3",,"24.6",,,,,,,,"71.1","22.6","6.3"
"Sanchez, Aaron","592717","2016","192.0","3.00","R","2919","19.1",,"8.8","16.2","55.9",,,,,,,,"75","16.2","8.8"
"Smyly, Drew","592767","2016","175.1","4.88","L","2889","56.1",,"5.7","22.8",,"15.4",,,,,,,"71.5","22.8","5.7"
"Syndergaard, Noah","592789","2016","183.2","2.60","R","2924","35.2","21.2","11.1","8.5","23.9",,,,,,,,"59.2","29.7","11.1"
"Velasquez, Vince","592826","2016","131.0","4.12","R","2208","56.3","8.8","13.4","13.9","7.7",,,,,,,,"63.9","22.7","13.4"
"Walker, Taijuan","592836","2016","134.1","4.22","R","2302","57.9",,,"11.3","3","7.7","20.1",,,,,,"68.5","11.3","20.1"
"Martinez, Carlos","593372","2016","195.1","3.04","R","3022","27.3",,"19.3","23.4","30",,,,,,,,"57.3","23.4","19.3"
"deGrom, Jacob","594798","2016","148.0","3.04","R","2353","42.9","18.8","9.5","11","17.8",,,,,,,,"60.7","29.8","9.5"
"Eickhoff, Jerad","595191","2016","197.1","3.65","R","3017","36.3","18","5.1","24.1","16.5",,,,,,,,"52.8","42.1","5.1"
"Bradley, Archie","605151","2016","141.2","5.02","R","2534","69.1",,"7.1","23.8",,,,,,,,,"69.1","23.8","7.1"
"Davies, Zach","605200","2016","163.1","3.97","R","2587",,,"20.6","10.9","55.9","12.6",,,,,,,"68.5","10.9","20.6"
"Fernández, José","605228","2016","182.1","2.86","R","2911","50.3",,"12.4","33.8","3.5",,,,,,,,"53.8","33.8","12.4"
"Finnegan, Brandon","605232","2016","172.0","3.98","L","2879","12.7","23.4","11.4",,"52.4",,,,,,,,"65.2","23.4","11.4"
"Fulmer, Michael","605242","2016","159.0","3.06","R","2468","35.8","0.1","17.5",,"20.8","25.8",,,,,,,"82.4","0.1","17.5"
"Morgan, Adam","605388","2016","113.1","6.04","L","1937","49.3","24.4","20.9","5.5",,,,,,,,,"49.3","29.9","20.9"
"Wisler, Matt","605538","2016","156.2","5.00","R","2427","34.7","29","5.2","6.1","25.2",,,,,,,,"59.8","35","5.2"
"Perdomo, Luis","606131","2016","146.2","5.71","R","2336","8.6",,"12.1","24.7","54.5","0.1",,,,,,,"63.2","24.7","12.1"
"Rodón, Carlos","607074","2016","165.0","4.04","L","2789","33.2","25.5","10.5",,"30.8",,,,,,,,"64","25.5","10.5"
"Wacha, Michael","608379","2016","138.0","5.09","R","2302","51.8",,"21.5","8.6",,"18",,,,,,,"69.8","8.6","21.5"
"Duffey, Tyler","608648","2016","133.0","6.43","R","2273","28.8",,"6.8","38.7","24.5","1.1",,,,,,,"54.5","38.7","6.8"
"Graveman, Kendall","608665","2016","186.0","4.11","R","2821","5.9","6.5","7.5",,"62.3","17.8",,,,,,,"86","6.5","7.5"
"Chen, Wei-Yin","612672","2016","123.1","4.96","L","1916","44.4","16.5","11.3","11.2","16.6",,,,,,,,"61.1","27.7","11.3"
"Maeda, Kenta","628317","2016","175.2","3.48","R","2904","29.4","29.5","9.6","17.9","13.5",,,,,,,,"42.9","47.4","9.6"
"Manaea, Sean","640455","2016","144.2","3.86","L","2167","58.5","12.8","28.7",,,,,,,,,,"58.5","12.8","28.7"
"Colon, Bartolo","112526","2017","143.0","6.48","R","2280","19.7","7.3","9.7",,"62.9","0.3",,,,,,,"83","7.3","9.7"
"Sabathia, CC","282332","2017","148.2","3.69","L","2336","0.3","31.1","15.6",,"22.9","30.2",,,,,,,"53.3","31.1","15.6"
"Dickey, R.A.","285079","2017","190.0","4.26","R","2817","17.3",,,,,,,"82.7",,,,,"17.3","82.7",
"Lackey, John","407793","2017","170.2","4.59","R","2754","39.4",,"4.6","7.4","12.9","35.5",,,,,,,"87.9","7.4","4.6"
"Wainwright, Adam","425794","2017","123.1","5.11","R","2126","19.3",,"4.1","26.2","26.8","23.6",,,,,,,"69.7","26.2","4.1"
"Greinke, Zack","425844","2017","202.1","3.20","R","3134","39.2","22.7","16.1","13","9.1",,,,,,,,"48.2","35.6","16.1"
"Santana, Ervin","429722","2017","211.1","3.28","R","3231","33","36.9","10.2",,"19.9",,,,,,,,"52.9","36.9","10.2"
"Cain, Matt","430912","2017","124.1","5.43","R","2061","35.3","10.7","10.9","23.1","19.9",,,,,,,,"55.3","33.8","10.9"
"Hamels, Cole","430935","2017","148.0","4.20","L","2311","24.1",,"20.7","12.9","23.3","19",,,,,,,"66.4","12.9","20.7"
"Verlander, Justin","434378","2017","206.0","3.36","R","3531","57.7","21.5","4.1","16","0.3","0.4",,,,,,,"58.4","37.5","4.1"
"Jiménez, Ubaldo","434622","2017","142.2","6.81","R","2581","18.9","20",,"4.3","35.9","0.8","20.1",,,,,,"55.6","24.3","20.1"
"Hammel, Jason","434628","2017","180.1","5.29","R","3008","20.7","36.9","3.6","9.5","29.4",,,,,,,,"50.1","46.4","3.6"
"Nolasco, Ricky","445060","2017","181.0","4.92","R","3087","19.3","27.3",,"9.3","29.1",,"15",,,,,,"48.4","36.6","15"
"Chavez, Jesse","445926","2017","138.0","5.35","R","2306","41.2","16","14.4","8.1","14.6","5.7",,,,,,,"61.4","24.1","14.4"
"Kluber, Corey","446372","2017","203.2","2.25","R","2934","14.4",,"6.1","28.1","28.5","22.8",,,,,,,"65.8","28.1","6.1"
"Hill, Rich","448179","2017","135.2","3.32","L","2222","52.6","0","0.6","39.1","1.9","3",,,"2.7",,,,"57.5","41.9","0.6"
"Shields, James","448306","2017","117.0","5.23","R","1918","27.6",,"11.4","21","13.5","26.5",,,,,,,"67.6","21","11.4"
"García, Jaime","448802","2017","157.0","4.41","L","2422","27.8","13.6","18.7","6.9","28.3","4.7",,,,,,,"60.8","20.5","18.7"
"Morton, Charlie","450203","2017","146.2","3.62","R","2377","10.7",,,"28.5","43.5","11.1","6.2",,,,,,"65.3","28.5","6.2"
"Vargas, Jason","450306","2017","179.2","4.16","L","2919","2.6",,"32.4","20.3","44.7",,,,,,,,"47.2","20.3","32.4"
"Gallardo, Yovani","451596","2017","130.2","5.72","R","2283","31.6","21.6","10","17.6","19.2",,,,,,,,"50.9","39.2","10"
"Lester, Jon","452657","2017","180.2","4.33","L","3123","38.1",,"8.5","13.1","11.9","28.4",,,,,,,"78.4","13.1","8.5"
"Kennedy, Ian","453178","2017","154.0","5.38","R","2636","39.8","12.2","11","15.7","21.3",,,,,,,,"61.1","27.9","11"
"Scherzer, Max","453286","2017","200.2","2.51","R","3099","45.8","21.2","14.3","8.2","2.9","7.7",,,,,,,"56.3","29.4","14.3"
"Richard, Clayton","453385","2017","197.1","4.79","L","3012","33","20.3","11",,"35.8",,,,,,,,"68.7","20.3","11"
"Arrieta, Jake","453562","2017","168.1","3.53","R","2726","2.1","14","8.3","14.3","61.3",,,,,,,,"63.4","28.3","8.3"
"González, Miguel","456068","2017","156.0","4.62","R","2526","26.2","21.4","0.4","16.7","23.4",,"11.7",,,,,,"49.7","38.2","12.2"
"Cueto, Johnny","456501","2017","147.1","4.52","R","2513","31.8","23","20.4","0.1","18.5","6.2",,,,,,,"56.5","23.1","20.4"
"Happ, J.A.","457918","2017","145.1","3.53","L","2484","43","12.3","11.5","5.3","27.9",,,,,,,,"70.9","17.6","11.5"
"Lynn, Lance","458681","2017","186.1","3.43","R","3144","36.7",,"5.3","4.8","42.6","10.5",,,,,,,"89.9","4.8","5.3"
"Tomlin, Josh","458708","2017","141.0","4.98","R","2078","18.7",,"7.3","24.1","15.9","34",,,,,,,"68.6","24.1","7.3"
"Pelfrey, Mike","460059","2017","120.0","5.93","R","2286","0.5","12.2",,"15","58.8",,"13.6",,,,,,"59.3","27.1","13.6"
"Gonzalez, Gio","461829","2017","201.0","2.96","L","3357","36.1",,"18.7","24.7","20.5",,,,,,,,"56.6","24.7","18.7"
"Estrada, Marco","462136","2017","186.0","4.98","R","3242","53.5",,"31.9","7.7",,"6.9",,,,,,,"60.4","7.7","31.9"
"Nova, Iván","467100","2017","187.0","4.14","R","2574","25.2",,"9.8","22.1","42.8",,,,,,,,"68","22.1","9.8"
"Chacín, Jhoulys","468504","2017","180.1","3.89","R","2905","16.3","35.2","6","4.1","38.3",,,,,,,,"54.7","39.3","6"
"Carrasco, Carlos","471911","2017","200.0","3.29","R","3038","40.2","16.6","16.1","18","9.2",,,,,,,,"49.3","34.6","16.1"
"Hellickson, Jeremy","476451","2017","164.0","5.43","R","2605","22.3",,"30.3","12.6","22.4","12.4",,,,,,,"57.1","12.6","30.3"
"Kershaw, Clayton","477132","2017","175.0","2.31","L","2447","46.4","34.7","1","16.8","1.1",,,,,,,,"47.5","51.5","1"
"Cashner, Andrew","488768","2017","166.2","3.40","R","2631","12.8","11.3","13.5","8.3","54",,,,,,,,"66.9","19.6","13.5"
"Miley, Wade","489119","2017","157.1","5.61","L","3052","25","11.2","10.8","10.3","28.3","14.3",,,,,,,"67.6","21.5","10.8"
"Garza, Matt","490063","2017","114.2","4.94","R","1910","43.6","23.2","5.8","10.5","17",,,,,,,,"60.6","33.7","5.8"
"Ramírez, JC","500724","2017","147.1","4.15","R","2293","3.6","32.7","0","16.3","47.4",,,,,,,,"51","49","0"
"Quintana, Jose","500779","2017","188.2","4.15","L","3168","37.5",,"9","22.1","25.4",,,,,"6.1",,,"62.8","28.1","9"
"Archer, Chris","502042","2017","201.0","4.07","R","3394","47.4","44.5","8",,,,,,,,,,"47.4","44.5","8"
"Gibson, Kyle","502043","2017","158.0","5.07","R","2609","22.5","17.2","14.6","10.3","35.4",,,,,,,,"57.9","27.6","14.6"
"Cobb, Alex","502171","2017","179.1","3.66","R","2845","1.2",,,"34.1","50.5",,"14.3",,,,,,"51.7","34.1","14.3"
"Samardzija, Jeff","502188","2017","207.2","4.42","R","3262","18.7","18.8",,"14.6","30.9","8.7","8.3",,,,,,"58.3","33.4","8.3"
"Leake, Mike","502190","2017","186.0","3.92","R","2721","3.2","14","11.9","6.7","45.2","19.1",,,,,,,"67.5","20.6","11.9"
"Anderson, Chase","502624","2017","141.1","2.74","R","2251","38.9",,"16.1","18.3","14.9","11.8",,,,,,,"65.6","18.3","16.1"
"Holland, Derek","502706","2017","135.0","6.20","L","2458","19","12","10.4","22.5","36.1",,,,,,,,"55.1","34.5","10.4"
"Peacock, Brad","502748","2017","132.0","3.00","R","2246","24.3",,"4.4","7.1","27",,,,"37.1",,,,"51.3","44.3","4.4"
"Darvish, Yu","506433","2017","186.2","3.86","R","3039","35.3","0.1","2.6","5.9","16.7","14.8",,,"24.5",,,,"66.8","30.6","2.6"
"Duffy, Danny","518633","2017","146.1","3.81","L","2272","24.7","29.1","22.9","0.7","22.6",,,,,,,,"47.4","29.8","22.9"
"Moore, Matt","519043","2017","174.1","5.52","L","2871","51.7",,"15.9","17.7",,"14.7",,,,,,,"66.4","17.7","15.9"
"Nelson, Jimmy","519076","2017","175.1","3.49","R","2750","29.3","16.5","2.7","19.5","32",,,,,,,,"61.3","36.1","2.7"
"Pomeranz, Drew","519141","2017","173.2","3.32","L","3042","53.1",,"1.4","36.9","2.9","5.7",,,,,,,"61.6","36.9","1.4"
"Porcello, Rick","519144","2017","203.1","4.65","R","3368","33.3","16.9","8.3","15.5","25.9",,,,,,,,"59.2","32.5","8.3"
"Sale, Chris","519242","2017","214.1","2.90","L","3423","36.9","32.9","18.8",,"11.4",,,,,,,,"48.3","32.9","18.8"
"Zimmermann, Jordan","519455","2017","160.0","6.08","R","2640","44.5","24.3","6.1","15.6","9.5",,,,,,,,"54","39.9","6.1"
"Pérez, Martín","527048","2017","185.0","4.82","L","3088","23.3","9.6","20.4","11.3","35.4",,,,,,,,"58.7","20.9","20.4"
"Teheran, Julio","527054","2017","188.1","4.49","R","3062","39.9","19.7","6.5","9","24.9",,,,,,,,"64.8","28.7","6.5"
"Adleman, Tim","534947","2017","122.1","5.52","R","2078","55.1",,"20","15.2","9.7",,,,,,,,"64.8","15.2","20"
"Ramírez, Erasmo","541640","2017","131.1","4.39","R","1989","9.1","10.7","20.4","0.3","35.1","24.4",,,,,,,"68.6","11","20.4"
"Chatwood, Tyler","543022","2017","147.2","4.69","R","2454","34.5",,"4.2","11","29","21.3",,,,,,,"84.7","11","4.2"
"Cole, Gerrit","543037","2017","203.0","4.26","R","3276","47.1","17.4","10.3","12.1","13.1",,,,,,,,"60.2","29.5","10.3"
"Gray, Sonny","543243","2017","162.1","3.55","R","2661","29.6","16.3","3.9","13.6","36.5","0.1",,,,,,,"66.1","29.9","3.9"
"Hendricks, Kyle","543294","2017","139.2","3.03","R","2265","23.4",,"27.9","7.9","39.6","1.1",,,,,,,"64.1","7.9","27.9"
"Montgomery, Mike","543557","2017","130.2","3.38","L","2074","53.2",,"12","23.9",,"11",,,,,,,"64.2","23.9","12"
"Odorizzi, Jake","543606","2017","143.1","4.14","R","2619","49.4","10.4",,"5.8",,"11.7","22.6",,,,,,"61.1","16.3","22.6"
"Roark, Tanner","543699","2017","181.1","4.67","R","3211","20.1","16.5","12.2","15","36.3",,,,,,,,"56.4","31.5","12.2"
"Strasburg, Stephen","544931","2017","175.1","2.52","R","2667","45.6","5.8","17.5","21.8","9.3",,,,,,,,"54.8","27.7","17.5"
"Bauer, Trevor","545333","2017","176.1","4.19","R","3145","37.3",,"7.6","30.1","11.9","13.1",,,,,,,"62.3","30.1","7.6"
"Tanaka, Masahiro","547888","2017","178.1","4.74","R","2805","13.9","31.8",,"5.9","18.3","5.2","24.8",,,,,,"37.4","37.8","24.8"
"Ryu, Hyun Jin","547943","2017","126.2","3.77","L","2110","34","4","25.4","15.7","2.9","17.9",,,,,,,"54.9","19.7","25.4"
"Ureña, José","570632","2017","169.2","3.82","R","2876","31.3","23.8","21.5",,"23.4","0",,,,,,,"54.7","23.8","21.5"
"Boyd, Matthew","571510","2017","135.0","5.27","L","2339","25.1","11.6","20.8","18.1","24.5",,,,,,,,"49.5","29.7","20.8"
"Corbin, Patrick","571578","2017","189.2","4.03","L","3073","27.3","37.6","9.1",,"26",,,,,,,,"53.3","37.6","9.1"
"Fiers, Mike","571666","2017","153.1","5.22","R","2628","32.8","5.5","18.1","19.3","20.4","3.9",,,,,,,"57.1","24.8","18.1"
"Paxton, James","572020","2017","136.0","2.98","L","2261","65.5",,"2.4","21.4",,"10.7",,,,,,,"76.2","21.4","2.4"
"Keuchel, Dallas","572971","2017","145.2","2.90","L","2188","5.4","18.8","12.9",,"52.9","9.9",,,,,,,"68.3","18.8","12.9"
"Straily, Dan","573185","2017","181.2","4.26","R","3049","45","29.1","17.4","3","5.4",,,,,,,,"50.5","32.1","17.4"
"Stroman, Marcus","573186","2017","201.0","3.09","R","3130","5",,"5.9","0.8","57.2","3.3",,,,"27.8",,,"65.4","28.6","5.9"
"Foltynewicz, Mike","592314","2017","154.0","4.79","R","2765","38.8","22.5","5.6","11.6","21.6",,,,,,,,"60.3","34.1","5.6"
"Gausman, Kevin","592332","2017","186.2","4.68","R","3344","64.2","13.9","1.2",,"0",,"20.7",,,,,,"64.2","13.9","21.9"
"Ray, Robbie","592662","2017","162.0","2.89","L","2708","56.5","21.2",,"19.6","2.7",,,,,,,,"59.2","40.8",
"Taillon, Jameson","592791","2017","133.2","4.44","R","2317","29",,"9.8","26","35.1",,,,,,,,"64.2","26","9.8"
"Walker, Taijuan","592836","2017","157.1","3.49","R","2741","54.7",,,"12.5","4","15","13.8",,,,,,"73.7","12.5","13.8"
"Williams, Trevor","592866","2017","150.1","4.07","R","2418","48.9","16.3","10.4","1.9","22.4",,,,,,,,"71.3","18.3","10.4"
"Martinez, Carlos","593372","2017","205.0","3.64","R","3118","28.2","25.9","16.9","1.6","27.4",,,,,,,,"55.6","27.5","16.9"
"Rodriguez, Eduardo","593958","2017","137.1","4.19","L","2459","61.2","7.9","18",,"4.6","8.4",,,,,,,"74.1","7.9","18"
"deGrom, Jacob","594798","2017","201.1","3.53","R","3160","39.6","22.2","12.4","10","15.8",,,,,,,,"55.3","32.2","12.4"
"Eickhoff, Jerad","595191","2017","128.0","4.71","R","2128","37.3","17.2","0.5","32.8","12.2",,,,,,,,"49.5","50","0.5"
"Pivetta, Nick","601713","2017","133.0","6.02","R","2438","53.9","15.1","4.1","14.8","12.1",,,,,,,,"66.1","29.9","4.1"
"Bundy, Dylan","605164","2017","169.2","4.24","R","2815","44","22.5","13.5","10.3","9.7",,,,,,,,"53.7","32.8","13.5"
"Cotton, Jharel","605194","2017","129.0","5.58","R","2161","33.8","22.5","21.6","8.6","13.4",,,,,,,,"47.2","31.1","21.6"
"Davies, Zach","605200","2017","191.1","3.90","R","3073",,,"14","15.5","57.8","12.8",,,,,,,"70.6","15.5","14"
"Fulmer, Michael","605242","2017","164.2","3.83","R","2469","22.5","0.1","19","0.5","36.7","21.3",,,,,,,"80.5","0.6","19"
"Nola, Aaron","605400","2017","168.0","3.54","R","2663","32.5",,"15.5","30.8","21.2",,,,,,,,"53.7","30.8","15.5"
"Snell, Blake","605483","2017","129.1","4.04","L","2275","55","13.8","21.1","10.1",,,,,,,,,"55","23.8","21.1"
"Perdomo, Luis","606131","2017","163.2","4.67","R","2550","11.3","32",,,"51.5",,"5.1",,,,,,"62.8","32","5.1"
"Montero, Rafael","606160","2017","119.0","5.52","R","2214","36.8","24.9","18.9",,"19.4",,,,,,,,"56.2","24.9","18.9"
"Gsellman, Robert","607229","2017","119.2","5.19","R","2046","17.2","15.6","9.8","11.5","45.8",,,,,,,,"63","27.2","9.8"
"Biagini, Joe","607352","2017","119.2","5.34","R","1929","6.2",,"14.4","21.5","48.3","9.6",,,,,,,"64.1","21.5","14.4"
"Freeland, Kyle","607536","2017","156.0","4.10","L","2552","26.2","25.7","7.6","3.8","36.6",,,,,,,,"62.8","29.5","7.6"
"Wacha, Michael","608379","2017","165.2","4.13","R","2681","49.6",,"18.5","11.5","3.5","16.9",,,,,,,"70","11.5","18.5"
"Márquez, Germán","608566","2017","162.0","4.39","R","2654","51.9","3.8","5","25.4","13.9",,,,,,,,"65.8","29.2","5"
"McCullers Jr., Lance","621121","2017","118.2","4.25","R","1999","24.6",,"11.5","47.6","16.3",,,,,,,,"40.9","47.6","11.5"
"Berríos, José","621244","2017","145.2","3.89","R","2387","30.9",,"8.6",,"30.5",,,,,"30",,,"61.4","30","8.6"
"Blach, Ty","621389","2017","163.2","4.78","L","2512","6.5","5.8","23.6","10.5","53.5",,,,,,,,"60.1","16.3","23.6"
"Wood, Alex","622072","2017","152.1","2.72","L","2248",,,"25.4","24.2","50.4",,,,,,,,"50.4","24.2","25.4"
"Senzatela, Antonio","622608","2017","134.2","4.68","R","2213","72.1","22.1","2.7","3.1",,,,,,,,,"72.1","25.2","2.7"
"Severino, Luis","622663","2017","193.1","2.98","R","3081","51.3","35.1","13.6",,,,,,,,,,"51.3","35.1","13.6"
"Maeda, Kenta","628317","2017","134.1","4.22","R","2174","34.2","24.5","10.1","14","8.6","8.6",,,,,,,"51.4","38.5","10.1"
"Manaea, Sean","640455","2017","158.2","4.37","L","2678",,"17.4","24.4",,"58.2",,,,,,,,"58.2","17.4","24.4"
"Kuhl, Chad","641771","2017","157.1","4.35","R","2681","30.6","20.6","9.8","6.2","32.9",,,,,,,,"63.4","26.7","9.8"
"Godley, Zack","643327","2017","155.0","3.37","R","2420","14.4",,"7.3","35.9","28.5","13.9",,,,,,,"56.8","35.9","7.3"
"Montgomery, Jordan","656756","2017","155.1","3.88","L","2525","17.4","13.1","18.9","26.1","24.5",,,,,,,,"41.9","39.2","18.9"
"Miranda, Aríel","664641","2017","160.0","5.12","L","2662","57.7","25.6",,,,,"16.7",,,,,,"57.7","25.6","16.7"
"Colon, Bartolo","112526","2018","146.1","5.78","R","2228","16.4","7.4","11.1",,"62.3","2.8",,,,,,,"81.5","7.4","11.1"
"Sabathia, CC","282332","2018","153.0","3.65","L","2506","1","30.9","10.1",,"14.2","43.7",,,,,,,"59","30.9","10.1"
"Greinke, Zack","425844","2018","207.2","3.21","R","3129","44.2","17.7","21","11.2","5.9",,,,,,,,"50.1","28.9","21"
"Hamels, Cole","430935","2018","190.2","3.78","L","3055","30.3","4.9","18.8","13.1","14.7","18.2",,,,,,,"63.2","18","18.8"
"Hernández, Félix","433587","2018","155.2","5.55","R","2558","10.6","4","24.2","28.5","32.4","0.4",,,,,,,"43.3","32.5","24.2"
"Verlander, Justin","434378","2018","214.0","2.52","R","3420","61.2","22.3","1.5","14.5",,"0.6",,,,,,,"61.8","36.8","1.5"
"Liriano, Francisco","434538","2018","133.2","4.58","L","2260","3.4","33","20.1","0.2","43.3",,,,,,,,"46.7","33.2","20.1"
"Hammel, Jason","434628","2018","127.0","6.02","R","2069","12.8","37.7","4.1","6.6","38.8",,,,,,,,"51.6","44.3","4.1"
"Sánchez, Aníbal","434671","2018","136.2","2.83","R","2126","33","4.9","5.9","9.3","7.8","20.2","19",,,,,,"60.9","14.2","24.9"
"Kluber, Corey","446372","2018","215.0","2.89","R","3076","8.9",,"6.6","22.5","32.7","29.4",,,,,,,"71","22.5","6.6"
"Hill, Rich","448179","2018","132.2","3.66","L","2102","55.3","0.2","0.8","35.8","3.7","0.4",,,"3.8",,,,"59.4","39.8","0.8"
"Shields, James","448306","2018","204.2","4.53","R","3186","26.5",,"18.2","19.7","11.5","24",,,,,,,"62","19.7","18.2"
"Guerra, Junior","448855","2018","141.0","4.09","R","2292","39.3","12.4",,"2.4","29.7",,"16.2",,,,,,"69","14.8","16.2"
