"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Happ, J.A.","457918","2015","172.0","3.61","L","2822","57.1","13.6","9","10.3","9.9",,,,,,,,"67","24","9"
"Lynn, Lance","458681","2015","175.1","3.03","R","3030","56.6","8","2.6","4.7","28.1",,,,,,,,"84.7","12.7","2.6"
"Pelfrey, Mike","460059","2015","164.2","4.26","R","2657","11.6","9.1",,"3.4","61.7",,"14.2",,,,,,"73.3","12.6","14.2"
"Gonzalez, Gio","461829","2015","175.2","3.79","L","2937","33.2",,"16.1","18.2","32.4",,,,,,,,"65.7","18.2","16.1"
"Hughes, Phil","461833","2015","155.1","4.40","R","2254","45.5","0.8","6.2","15.9","14.6","17",,,,,,,"77.1","16.7","6.2"
"Estrada, Marco","462136","2015","181.0","3.13","R","2907","53.3",,"28","11",,"7.6",,,,,,,"60.9","11","28"
"Carrasco, Carlos","471911","2015","183.2","3.63","R","2766","33.9","15.2","21.1","8.1","21.6",,,,,,,,"55.5","23.4","21.1"
"Anderson, Brett","474463","2015","180.1","3.69","L","2706","23.8","25.8","9.5","12.1","28.8",,,,,,,,"52.6","37.9","9.5"
"Ross, Tyson","475115","2015","196.0","3.26","R","3212","19.4","45","1.8",,"31.9","1.9",,,,,,,"53.2","45","1.8"
"Hellickson, Jeremy","476451","2015","146.0","4.62","R","2470","41.9","0.2","22.2","20.5","14.6","0.6",,,,,,,"57.1","20.7","22.2"
"Warren, Adam","476589","2015","131.1","3.29","R","2154","32.7","29.1","15","11","10.3","1.9",,,,,,,"44.8","40.2","15"
"Niese, Jonathon","477003","2015","176.2","4.13","L","2682","25.9","2.4","13","15.3","27.3","16.1",,,,,,,"69.3","17.7","13"
"Kershaw, Clayton","477132","2015","232.2","2.13","L","3385","53.5","27.9","0.3","18.2","0.1",,,,,,,,"53.6","46","0.3"
"Cashner, Andrew","488768","2015","184.2","4.34","R","3101","40.2","21.9","9.3","0.8","27.8",,,,,,,,"68","22.7","9.3"
"Miley, Wade","489119","2015","193.2","4.46","L","3194","34.4","15","19.3","8.5","22.8",,,,,,,,"57.2","23.5","19.3"
"Garza, Matt","490063","2015","148.2","5.63","R","2380","43.4","15.5","3","14.2","23.8",,,,,,,,"67.3","29.7","3"
"Quintana, Jose","500779","2015","206.1","3.36","L","3351","51.4",,"9.7","30.9","8",,,,,,,,"59.4","30.9","9.7"
"Pineda, Michael","501381","2015","160.2","4.37","R","2548","38.7","34.5","11.8","0","1.2","13.8",,,,,,,"53.7","34.5","11.8"
"Tillman, Chris","501957","2015","173.0","4.99","R","2939","61.8","7.2","13.6","14.2",,"3.2",,,,,,,"65","21.4","13.6"
"Karns, Nate","501992","2015","147.0","3.67","R","2407","58",,"12.7","29.2",,,,,,,,,"58","29.2","12.7"
"Archer, Chris","502042","2015","212.0","3.23","R","3449","54","39.3","6.7",,,,,,,,,,"54","39.3","6.7"
"Gibson, Kyle","502043","2015","194.2","3.84","R","3211","20.1","18.5","19.2","4.2","38.1",,,,,,,,"58.2","22.7","19.2"
"Locke, Jeff","502046","2015","168.1","4.49","L","2761","3.1",,"22.7","15.9","58.3",,,,,,,,"61.4","15.9","22.7"
"Samardzija, Jeff","502188","2015","214.0","4.96","R","3336","41","22.4",,"4.1","13.1","9.5","9.9",,,,,,"63.5","26.5","9.9"
"Leake, Mike","502190","2015","192.0","3.70","R","2734","5.4","9.5","7.3","13.3","46.4","18.1",,,,,,,"69.9","22.8","7.3"
"Santiago, Héctor","502327","2015","180.2","3.59","L","3143",,"8.1","16.5","3.1","61.2","10.8",,,,,,"0.2","72","11.2","16.7"
"Anderson, Chase","502624","2015","152.2","4.30","R","2451","41.9",,"24","14.1","19.7","0.3",,,,,,,"61.9","14.1","24"
"Salazar, Danny","517593","2015","185.0","3.45","R","3044","51.9","9.3","18.7","3.7","16.4",,,,,,,,"68.3","13","18.7"
"Bettis, Chad","518452","2015","115.0","4.23","R","1874","49","5.4","16.1","15","14.5",,,,,,,,"63.4","20.4","16.1"
"Bumgarner, Madison","518516","2015","218.1","2.93","L","3299","48.8","1.3","2","17","0.7","30.2",,,,,,,"79.7","18.3","2"
"Duffy, Danny","518633","2015","136.2","4.08","L","2347","44.7",,"10.1","23.9","20.3","1",,,,,,,"66","23.9","10.1"
"Harvey, Matt","518774","2015","189.1","2.71","R","2780","39.1","15","12.2","11.9","21.8",,,,,,,,"60.9","26.9","12.2"
"Heston, Chris","518790","2015","177.2","3.95","R","2776","2.3","12.9","12.1","14.1","58.5",,,,,,,,"60.8","27.1","12.1"
"Nelson, Jimmy","519076","2015","177.1","4.11","R","2782","23.9","20.1","1.2","18.3","36.5",,,,,,,,"60.4","38.4","1.2"
"Porcello, Rick","519144","2015","172.0","4.92","R","2739","31.4","10.1","10.8","13.9","33.8",,,,,,,,"65.2","24","10.8"
"Sale, Chris","519242","2015","208.2","3.41","L","3317",,"19.7","27.9",,"52.4",,,,,,,,"52.4","19.7","27.9"
"Zimmermann, Jordan","519455","2015","201.2","3.66","R","3091","61.4","22.2","0.4","15.1","0.9",,,,,,,,"62.2","37.4","0.4"
"Kelly, Joe","523260","2015","134.1","4.82","R","2378","31.9","14.3","11.3","9.1","33.5",,,,,,,,"65.3","23.4","11.3"
"De La Rosa, Rubby","523989","2015","188.2","4.67","R","3003","44.6","17.2","21.1","1.1","16",,,,,,,,"60.6","18.3","21.1"
"Teheran, Julio","527054","2015","200.2","4.04","R","3261","42.4","22.7","8.2","7.8","19",,,,,,,,"61.4","30.4","8.2"
"Shoemaker, Matt","533167","2015","135.1","4.46","R","2078","31.9","11.4","25.7","7.4","23.6",,,,,,,,"55.5","18.8","25.7"
"Ramírez, Erasmo","541640","2015","163.1","3.75","R","2409","39.6","16.6","23.2","4.8","15.8",,,,,,,,"55.5","21.4","23.2"
"Cole, Gerrit","543037","2015","208.0","2.60","R","3232","50.7","21.3","3.7","8","16.4",,,,,,,,"67","29.3","3.7"
"DeSclafani, Anthony","543101","2015","184.2","4.05","R","2881","33.8","23.9","7.2","6.8","28.2",,,,,,,,"62.1","30.7","7.2"
"Eovaldi, Nathan","543135","2015","154.1","4.20","R","2637","47.1","23.4","5.3","9.1","0.8",,"14.3",,,,,,"47.9","32.5","19.6"
"Gray, Sonny","543243","2015","208.0","2.73","R","3077","37.1","16.4","7.1","13.8","24.2","1.4",,,,,,,"62.7","30.2","7.1"
"Hendricks, Kyle","543294","2015","180.0","3.95","R","2789","2.9",,"20","7.3","60.6","9.2",,,,,,,"72.8","7.3","20"
"Koehler, Tom","543408","2015","187.1","4.08","R","2964","41.9","14.4","5.1","22.6","15.9",,,,,,,,"57.8","37.1","5.1"
"McHugh, Collin","543521","2015","203.2","3.89","R","3230","30.5",,"4.2","23.5","2","39.8",,,,,,,"72.4","23.5","4.2"
"Milone, Tommy","543548","2015","128.2","3.92","L","2064","57.6",,"25.4","13.1","1.6","2.4",,,,,,,"61.5","13.1","25.4"
"Odorizzi, Jake","543606","2015","169.1","3.35","R","2754","36","3.6",,"3.3","14.8","12.3","29.8",,,,,,"63.2","7","29.8"
"Rusin, Chris","543734","2015","131.2","5.33","L","2129","16.5",,"17.5","11.6","28.2","26.3",,,,,,,"70.9","11.6","17.5"
"Strasburg, Stephen","544931","2015","127.1","3.46","R","2042","52.8","0.7","13.7","22.2","10.6",,,,,,,,"63.4","22.9","13.7"
"Bauer, Trevor","545333","2015","176.0","4.55","R","2864","41.1","0.1","12","11.6","13.3","21.9",,,,,,,"76.3","11.7","12"
"Lorenzen, Michael","547179","2015","113.1","5.40","R","1969","59.4","17.3","7.4","10.3","5.6",,,,,,,,"65.1","27.6","7.4"
"Iwakuma, Hisashi","547874","2015","129.2","3.54","R","1861","18.1","17",,"7","35.7","1.6","20.7",,,,,,"55.3","24","20.7"
"Tanaka, Masahiro","547888","2015","154.0","3.51","R","2289","20","21.3",,"7.1","13.5","9.9","28.2",,,,,,"43.3","28.4","28.2"
"Pérez, Williams","554234","2015","116.2","4.78","R","1863","0.1",,"16","12.3","71.7",,,,,,,,"71.7","12.3","16"
"Ventura, Yordano","570649","2015","163.1","4.08","R","2649","29.5",,"14.6","24","28","3.9",,,,,,,"61.4","24","14.6"
"Fiers, Mike","571666","2015","180.1","3.69","R","3020","58.5","0.1","15.7","15.9",,"9.8",,,,,,,"68.3","16","15.7"
"Hutchison, Drew","571800","2015","150.1","5.57","R","2505","64.6","23.1","11.7","0","0.6",,,,,,,,"65.2","23.1","11.7"
"Miller, Shelby","571946","2015","205.1","3.02","R","3217","33.2",,"2.2","9.8","33.5","21.2",,,,,,,"88","9.8","2.2"
"Richards, Garrett","572070","2015","207.1","3.65","R","3242","29.1","33.3","0","5.7","10.8","21.1",,,,,,,"60.9","39.1","0"
"Keuchel, Dallas","572971","2015","232.0","2.48","L","3486","11.4","19.4","13.6",,"50.3","5.3",,,,,,,"67","19.4","13.6"
"Ray, Robbie","592662","2015","127.2","3.52","L","2250","46.1","20.1","8","0","25.8",,,,,,,,"71.9","20.1","8"
"Syndergaard, Noah","592789","2015","150.0","3.24","R","2372","37.9","2.3","14.2","21.8","23.8",,,,,,,,"61.8","24.1","14.2"
"Walker, Taijuan","592836","2015","169.2","4.56","R","2625","62.9",,,"7.7","2.6","8.8","17.9",,,,,,"74.3","7.7","17.9"
"Martinez, Carlos","593372","2015","179.2","3.01","R","2823","31.6",,"17.3","25.8","25.3",,,,,,,,"56.9","25.8","17.3"
